, name                       , met (ms)            , iters , GFLOPS
, cpu/naive                  , 1332.5470228181819  , 11    , 1.629729445049621
, gpu/naive                  , 1.5029676736684172  , 1333  , 1444.9353489415876
, gpu/coalescing             , 0.8154868439641539  , 1897  , 2663.06088942308
, gpu/tiled                  , 0.46889512          , 2800  , 4631.50719077648
, gpu/tiled_register         , 0.24080273739130437 , 4600  , 9018.548308572601
, gpu/block_tiled            , 0.28845984749790327 , 7154  , 7528.573348551693
, gpu/block_tiled_vectorized , 0.2990510069135803  , 8100  , 7261.94217639794
, gpu/tensor_core            , 0.16754319564102563 , 7800  , 12961.977427319805
